"","movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","id","imdbID","spanishTitle","imdbPictureURL","year","rtID","rtAllCriticsRating","rtAllCriticsNumReviews","rtAllCriticsNumFresh","rtAllCriticsNumRotten","rtAllCriticsScore","rtTopCriticsRating","rtTopCriticsNumReviews","rtTopCriticsNumFresh","rtTopCriticsNumRotten","rtTopCriticsScore","rtAudienceRating","rtAudienceNumRatings","rtAudienceScore","rtPictureURL"
"11","1776","Color","Peter H. Hunt",34,168,0,69,"Ken Howard",713,NA,"Drama|Family|History|Musical","Blythe Danner",6303,1541,"Howard Caine",0,"continental congress|debate|declaration of independence|massachusetts|pennsylvania","http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1",129,"English","USA","PG",4e+06,1972,649,7.6,2.35,0,5472,68156,"1776","http://ia.media-imdb.com/images/M/MV5BMTI5MDQxNjg0MF5BMl5BanBnXkFtZTcwNDYwNzMyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1972,"1776","6.8","14","8","6","57","0","1","0","1","0","3.8","2415","80","http://content6.flixster.com/movie/10/88/57/10885736_det.jpg"
"12","1941","Color","Steven Spielberg",56,142,14000,642,"John Belushi",16000,NA,"Action|Comedy|War","Christopher Lee",25193,20201,"Treat Williams",5,"california|captain|cult film|pearl harbor|submarine","http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1",217,"English","USA","PG",3.5e+07,1979,1000,5.9,2.35,2000,7104,78723,"1941","http://ia.media-imdb.com/images/M/MV5BMTk1NDE3Njc0MF5BMl5BanBnXkFtZTcwNTkxNDYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1979,"1941","5.2","21","7","14","33","0","1","0","1","0","3","5333","48","http://content8.flixster.com/movie/25/85/258518_det.jpg"
"13","2 Fast 2 Furious","Color","John Singleton",150,107,309,771,"Cole Hauser",23000,127083765,"Action|Crime|Thriller","Paul Walker",191912,25296,"Mo Gallini",5,"bust|racing|shotgun|street racing|undercover agent","http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1",370,"English","USA","PG-13",7.6e+07,2003,787,5.9,2.35,0,6383,322259,"2 fast 2 furious. A todo gas 2","http://ia.media-imdb.com/images/M/MV5BMjAyOTA0OTc5N15BMl5BanBnXkFtZTcwOTg3MDYyMQ@@._V1._SY314_CR0,0,214,314_.jpg",2003,"2_fast_2_furious","4.8","155","56","99","36","4.8","33","13","20","39","3.1","176485","59","http://content9.flixster.com/movie/10/91/62/10916271_det.jpg"
"14","20 Dates","Color","Myles Berkowitz",32,87,0,153,"Tom Ardavany",1000,536767,"Biography|Comedy|Romance","Tia Carrere",1622,1362,"Robert McKee",0,"fake documentary|hidden camera|mockumentary|narrative|reality show","http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1",83,"English","USA","R",60000,1998,184,5.3,1.85,30,2492,138987,"20 citas","http://ia.media-imdb.com/images/M/MV5BMTY1MTIyMzI1Ml5BMl5BanBnXkFtZTYwNzg1Mzk5._V1._SY313_CR1,0,214,313_.jpg",1998,"20_dates","4.8","31","12","19","38","3.1","10","0","10","0","0","0","0","http://content6.flixster.com/movie/50/89/30/5089308_det.jpg"
"15","200 Cigarettes","Color","Risa Bramon Garcia",67,101,112,612,"Dave Chappelle",1000,6851636,"Comedy|Drama|Romance","Janeane Garofalo",13010,2697,"Gaby Hoffmann",5,"bartender|friend|new year's eve|party|punk","http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1",182,"English","USA","R",6e+06,1999,744,5.9,1.85,0,2504,137338,"200 cigarrillos","http://ia.media-imdb.com/images/M/MV5BMjA2NDgwMDg4Ml5BMl5BanBnXkFtZTcwMzc1NjUyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1999,"200_cigarettes","4.5","57","17","40","29","3.9","19","5","14","26","3","5146","54","http://content9.flixster.com/movie/27/52/275211_det.jpg"
"16","2001: A Space Odyssey","Color","Stanley Kubrick",285,161,0,73,"Gary Lockwood",273,56715371,"Adventure|Mystery|Sci-Fi","Keir Dullea",427357,727,"Glenn Beck",0,"ancient astronaut|famous line|message from outer space|monolith|star child","http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1",1736,"English","UK","G",1.2e+07,1968,117,8.3,2.2,24000,924,62622,"2001: Una odisea del espacio","http://ia.media-imdb.com/images/M/MV5BMjExMjgwNDk0NV5BMl5BanBnXkFtZTYwNzM4NDc4._V1._SX214_CR0,0,214,314_.jpg",1968,"1000085-2001_a_space_odyssey","8.8","53","51","2","96","7.1","11","9","2","81","3.7","46687","86","http://content6.flixster.com/movie/10/87/27/10872760_det.jpg"
"17","2046"," Black and White","Kar-Wai Wong",194,129,0,576,"Tony Chiu Wai Leung",878,261481,"Drama|Romance|Sci-Fi","Li Gong",41496,2378,"Maggie Cheung",0,"number in title|train|woman slaps a man|woman slaps man|written by director","http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1",210,"Cantonese","Hong Kong","R",1.2e+07,2004,643,7.5,2.35,0,27266,212712,"2046","http://ia.media-imdb.com/images/M/MV5BMzY1MjkzNDY4MF5BMl5BanBnXkFtZTcwMzE1NzAzMQ@@._V1._SX214_CR0,0,214,314_.jpg",2004,"2046","7.4","106","89","17","83","7.3","30","25","5","83","3.9","14211","84","http://content7.flixster.com/movie/24/99/249909_det.jpg"
"18","21","Color","Robert Luketic",144,123,126,1000,"Jim Sturgess",18000,81159365,"Crime|Drama|Thriller","Kevin Spacey",191470,25661,"Josh Gad",2,"based on true story|blackjack|card counting|gambling|massachusetts institute of technology","http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1",278,"English","USA","PG-13",3.5e+07,2008,5000,6.8,2.35,0,52767,75610,"21","http://ia.media-imdb.com/images/M/MV5BMTM3MTA3NzQ2N15BMl5BanBnXkFtZTcwNjM5NzYyMQ@@._V1._SY314_CR23,0,214,314_.jpg",1977,"21_up","0","1","1","0","100","0","0","0","0","0","0","0","0","http://content8.flixster.com/movie/10/89/43/10894342_det.jpg"
"19","21 Grams","Color","Alejandro G. IÃ±Ã¡rritu",192,124,0,430,"Eddie Marsan",6000,16248701,"Drama","Naomi Watts",189683,7567,"Danny Huston",0,"accident|faith|love|mathematician|nonlinear timeline","http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1",559,"English","USA","R",2e+07,2003,979,7.7,1.85,0,6953,315733,"21 gramos","http://ia.media-imdb.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1._SX214_CR0,0,214,314_.jpg",2003,"21_grams","7.5","175","142","33","81","8.1","36","32","4","88","3.6","38037","83","http://content8.flixster.com/movie/55/36/53/5536534_det.jpg"
"20","24 7: Twenty Four Seven"," Black and White","Shane Meadows",44,96,222,20,"Annette Badland",5000,NA,"Comedy|Drama|Romance|Sport","Bob Hoskins",2081,5535,"Karl Collins",2,"fight|gang|hiking|wales|working class","http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1",21,"English","UK","R",NA,1997,497,7.1,1.85,224,2444,120391,"24 7: Twenty Four Seven","http://ia.media-imdb.com/images/M/MV5BODY1NTQzMDQ0M15BMl5BanBnXkFtZTcwMTg5OTUxMQ@@._V1._SY314_CR3,0,214,314_.jpg",1997,"twentyfourseven","5.7","20","7","13","35","5.6","5","1","4","20","3.9","451","84","http://content8.flixster.com/movie/10/87/22/10872274_det.jpg"
"21","25th Hour","Color","Spike Lee",202,108,0,346,"Rosario Dawson",22000,13060843,"Drama","Philip Seymour Hoffman",149528,26050,"Aaron Stanford",0,"bar|dream|drug dealing|nightclub|widower","http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1",454,"English","USA","R",1.5e+07,2002,3000,7.7,2.35,0,5954,307901,"La última noche","http://ia.media-imdb.com/images/M/MV5BMjE2OTkwNDU3Nl5BMl5BanBnXkFtZTYwNTI5Njk5._V1._SX214_CR0,0,214,314_.jpg",2002,"25th_hour","7.1","162","126","36","77","7","35","26","9","74","3.7","25056","83","http://content9.flixster.com/movie/10/87/40/10874063_det.jpg"
"22","27 Dresses","Color","Anne Fletcher",175,111,98,71,"Bern Cohen",2000,76806312,"Comedy|Romance","Judy Greer",124501,2978,"Yetta Gottesman",1,"boss|bridesmaid|friend|love|wedding","http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1",154,"English","USA","PG-13",3e+07,2008,805,6.1,2.35,0,56949,988595,"27 vestidos","http://ia.media-imdb.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"27_dresses","5","146","59","87","40","4.9","31","8","23","25","3.6","168630","71","http://content9.flixster.com/movie/10/70/11/10701195_det.jpg"
"23","28 Days Later...","Color","Danny Boyle",224,113,0,27,"Megan Burns",133,45063889,"Drama|Horror|Sci-Fi|Thriller","Noah Huntley",297250,241,"David Schneider",0,"laboratory|london england|military|virus|zombie apocalypse","http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1",1441,"English","UK","R",8e+06,2002,32,7.6,1.85,11000,3534,289043,"28 días después...","http://ia.media-imdb.com/images/M/MV5BNzM2NDYwNjM3OF5BMl5BanBnXkFtZTYwNDYxNzk5._V1._SX214_CR0,0,214,314_.jpg",2002,"28_days_later","7.3","200","177","23","88","7.1","39","34","5","87","3.6","107149","82","http://content9.flixster.com/movie/55/37/32/5537323_det.jpg"
"24","28 Weeks Later","Color","Juan Carlos Fresnadillo",274,100,35,306,"Harold Perrineau",10000,28637507,"Drama|Horror|Sci-Fi","Jeremy Renner",212167,11471,"Catherine McCormack",1,"paris france|rage|sniper|u.s. army|zombie apocalypse","http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1",713,"English","UK","R",1.5e+07,2007,1000,7,1.85,0,53000,463854,"28 semanas después","http://ia.media-imdb.com/images/M/MV5BMTMyNzg2MjE5MF5BMl5BanBnXkFtZTcwMDUyNjM1MQ@@._V1._SY314_CR7,0,214,314_.jpg",2007,"28_weeks_later","6.6","182","128","54","70","7","39","30","9","76","3.4","266576","66","http://content6.flixster.com/movie/10/86/37/10863760_det.jpg"
"25","3 Men and a Baby","Color","Leonard Nimoy",21,102,12000,801,"Ted Danson",19000,167780960,"Comedy|Drama|Family","Tom Selleck",36918,21499,"Steve Guttenberg",4,"1980s|baby|heroin|package|questioned by police","http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1",42,"English","USA","PG",1.1e+07,1987,875,5.9,1.85,3000,5308,94137,"Tres hombres y un bebé","http://ia.media-imdb.com/images/M/MV5BMTkzODMxMzc5OF5BMl5BanBnXkFtZTcwMTI2OTMyMQ@@._V1._SY314_CR8,0,214,314_.jpg",1987,"three_men_and_a_baby","5.7","24","17","7","70","0","4","3","1","75","2.9","11309","51","http://content9.flixster.com/movie/25/71/257115_det.jpg"
"26","3 Ninjas Kick Back","Color","Charles T. Kanganis",5,93,18,181,"Dustin Nguyen",400,11784000,"Action|Comedy|Family","Victor Wong",6701,1151,"Don Stark",0,"1990s|dagger|japan|mousetrap|stick fight","http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1",26,"English","USA","PG",2e+07,1994,220,4.3,1.85,444,4749,109015,"3 Ninjas Kick Back: 3 Ninjas contratacan","http://ia.media-imdb.com/images/M/MV5BNzk5Njg1OTYzNl5BMl5BanBnXkFtZTcwNDQwMzAzMQ@@._V1._SY314_CR2,0,214,314_.jpg",1994,"3_ninjas_kick_back","2.8","6","1","5","16","0","3","1","2","33","2.6","6654","39","http://content9.flixster.com/movie/10/91/76/10917627_det.jpg"
"27","3 Strikes","Color","DJ Pooh",22,82,69,585,"Mike Epps",939,9821335,"Comedy","Mo'Nique",1415,3354,"Faizon Love",1,"adult diaper|diaper|digit in title|dream|sawed off shotgun","http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1",10,"English","USA","R",6e+06,2000,706,4,1.85,118,3322,199290,"3 Strikes","http://ia.media-imdb.com/images/M/MV5BMTIzOTU5NTIxMl5BMl5BanBnXkFtZTYwODM1Mzk5._V1._SY312_CR1,0,214,312_.jpg",2000,"3_strikes","2.3","29","0","29","0","2.4","11","0","11","0","3.1","1088","60","http://content6.flixster.com/movie/27/52/275204_det.jpg"
"28","3:10 to Yuma","Color","James Mangold",295,122,446,600,"Logan Lerman",23000,53574088,"Adventure|Crime|Drama|Western","Christian Bale",237872,33548,"Gretchen Mol",1,"outlaw|rancher|small western town|stagecoach|train","http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1",560,"English","USA","R",5.5e+07,2007,8000,7.8,2.35,0,5300,381849,"El tren de las 3:10","http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1._SX214_CR0,0,214,314_.jpg",2007,"310_to_yuma","7.5","205","182","23","88","7.3","42","36","6","85","3.9","139372","85","http://content7.flixster.com/movie/10/92/16/10921673_det.jpg"
"29","30 Days of Night","Color","David Slade",304,113,171,63,"Mark Rendall",430,39568996,"Horror","Danny Huston",138435,814,"Megan Franich",0,"alaska|small town|snow|vampire|winter","http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1",527,"English","USA","R",3.2e+07,2007,72,6.6,2.35,0,6815,389722,"30 días de oscuridad","http://ia.media-imdb.com/images/M/MV5BMTQyMjc4MjExOF5BMl5BanBnXkFtZTcwMDI4ODg1MQ@@._V1._SY314_CR9,0,214,314_.jpg",2007,"30_days_of_night","5.5","150","73","77","48","5.1","28","13","15","46","3.3","146766","57","http://content7.flixster.com/movie/10/18/32/10183253_det.jpg"
"30","300","Color","Zack Snyder",460,117,0,447,"Michael Fassbender",18000,210592590,"Action|Drama|Fantasy|War","Gerard Butler",607235,32360,"Vincent Regan",0,"battle|epic|greece|spartan|warrior","http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1",2073,"English","USA","R",6.5e+07,2006,13000,7.7,2.35,13000,51662,416449,"300","http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1._SX214_CR0,0,214,314_.jpg",2006,"300","6.1","223","133","90","59","5.6","41","19","22","46","4.1","476879","90","http://content7.flixster.com/movie/28/60/90/2860905_det.jpg"
"31","3000 Miles to Graceland","Color","Demian Lichtenstein",113,125,11,867,"Bokeem Woodbine",11000,15738632,"Action|Comedy|Crime|Thriller","Jon Lovitz",38076,14536,"Ice-T",2,"casino|elvis impersonator|gun|heist|rascal","http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1",399,"English","USA","R",4.2e+07,2001,904,5.9,2.35,0,4159,233142,"Los reyes del crimen","http://ia.media-imdb.com/images/M/MV5BMTI3MTMyODIxM15BMl5BanBnXkFtZTcwMDIzNzkxMQ@@._V1._SY314_CR9,0,214,314_.jpg",2001,"3000_miles_to_graceland","3.5","95","13","82","13","2.7","23","1","22","4","2.9","8755","45","http://content8.flixster.com/movie/27/29/272922_det.jpg"
"32","40 Days and 40 Nights","Color","Michael Lehmann",140,96,36,486,"Vinessa Shaw",1000,37939782,"Comedy|Romance","Emmanuelle Vaugier",62272,3294,"Paulo Costanzo",0,"female on male rape|lent|male rear nudity|masturbation|sex","http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1",207,"English","USA","R",1.7e+07,2002,580,5.6,1.85,2000,5151,243736,"40 días y 40 noches","http://ia.media-imdb.com/images/M/MV5BMTIxMjIwMDE1Ml5BMl5BanBnXkFtZTcwNjAxOTAyMQ@@._V1._SY314_CR2,0,214,314_.jpg",2002,"40_days_and_40_nights","4.8","134","51","83","38","4.5","34","9","25","26","3.1","33188","53","http://content6.flixster.com/movie/27/17/271796_det.jpg"
"33","42nd Street"," Black and White","Lloyd Bacon",65,89,24,45,"Dick Powell",610,2300000,"Comedy|Musical|Romance","Ginger Rogers",7921,995,"George Brent",2,"chorus girl|chorus line|director|gala premiere|song","http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1",97,"English","USA","Unrated",439000,1933,105,7.7,1.37,439,7080,24034,"La calle 42","http://ia.media-imdb.com/images/M/MV5BMTIwNDg4MzQ3NV5BMl5BanBnXkFtZTcwODUzMTUzMQ@@._V1._SY314_CR4,0,214,314_.jpg",1933,"42nd_street","7.8","20","19","1","95","0","2","1","1","50","3.5","1572","71","http://content6.flixster.com/movie/29/29/292904_det.jpg"
"34","50 First Dates","Color","Peter Segal",147,99,88,328,"Peter Dante",11000,120776832,"Comedy|Romance","Adam Sandler",266103,12952,"Allen Covert",2,"dream|hawaii|hawaiian shirt|short term memory loss|veterinarian","http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1",456,"English","USA","PG-13",7.5e+07,2004,427,6.8,2.35,11000,7293,343660,"50 primeras citas","http://ia.media-imdb.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1._SX214_CR0,0,214,314_.jpg",2004,"50_first_dates","5.4","172","76","96","44","5.3","38","18","20","47","3.4","217959","68","http://content6.flixster.com/movie/11/15/32/11153208_det.jpg"
"35","54","Color","Mark Christopher",63,121,15,812,"Ellen Albertini Dow",4000,16574731,"Drama|Music","Salma Hayek",27675,6910,"Sela Ward",4,"angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco","http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1",181,"English","USA","R",1.3e+07,1998,957,5.8,1.85,0,2188,120577,"54","http://ia.media-imdb.com/images/M/MV5BMTY3NDI0NjUyOF5BMl5BanBnXkFtZTcwMzM0NDMzMQ@@._V1._SY314_CR1,0,214,314_.jpg",1998,"54","4.1","62","8","54","12","3.4","14","1","13","7","2.8","4129","45","http://content6.flixster.com/movie/27/08/270804_det.jpg"
"36","8 Heads in a Duffel Bag","Color","Tom Schulman",30,95,45,267,"George Hamilton",578,3559990,"Comedy|Crime","Kristy Swanson",8005,1363,"Dyan Cannon",0,"camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose","http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1",49,"English","USA","R",3e+06,1997,341,5.3,1.85,417,1503,118541,"Ocho cabezas","http://ia.media-imdb.com/images/M/MV5BMTQ4NjU0NDc2Ml5BMl5BanBnXkFtZTcwMTM3NjYxMQ@@._V1._SY314_CR1,0,214,314_.jpg",1997,"8_heads_in_a_duffel_bag","3.3","18","2","16","11","0","4","0","4","0","2.6","2533","34","http://content6.flixster.com/movie/10/88/92/10889240_det.jpg"
"37","8 Mile","Color","Curtis Hanson",119,110,161,196,"Omar Benson Miller",1000,116724075,"Drama|Music","Mekhi Phifer",187181,1954,"Evan Jones",0,"competition|contest|friend|self expression|white rapper","http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1",564,"English","USA","R",4.1e+07,2002,418,7,2.35,0,5810,298203,"8 millas","http://ia.media-imdb.com/images/M/MV5BMTU2MTgyOTk3MF5BMl5BanBnXkFtZTYwOTg2NTI5._V1._SX214_CR0,0,214,314_.jpg",2002,"8_mile","6.7","179","133","46","74","7.2","38","32","6","84","3.1","199023","54","http://content7.flixster.com/movie/26/85/268597_det.jpg"
